DIRECTORIO;FEX_C
7576699;99.897645825
7576700;41.888704834
7576702;58.185771655
7576703;58.273693904
7576704;81.764723146
7576705;58.273693904
7576706;72.853760264
7576707;65.408241136
7576708;49.14088191
7576709;49.111174315
7576710;75.573364632
7576712;49.111174315
7576713;58.185771655
7576714;31.071488486
7576715;33.736012368
7576717;60.606446131
7576718;55.856333963
7576719;40.243250889
7576720;40.243250889
7576721;73.518134578
7576722;63.097469481
7576723;45.946101981
7576725;62.925552837
7576726;58.185771655
7576727;47.668073443
7576728;58.255202144
7576729;80.291914679
7576730;76.286664644
7576731;41.888704834
7576732;52.07232009
7576733;65.408241136
7577064;310.57181761
7577066;232.43264548
7577068;180.46886474
7577070;182.1272785
7577071;172.8524078
7577073;256.56801539
7577075;244.51867424
7577076;283.80437938
7577077;298.68997432
7577418;206.46495572
7577419;332.68029243
7577420;318.09293866
7577422;259.7331003
7577423;349.1773309
7577424;292.38019699
7577426;158.02109968
7577427;238.36271433
7577428;118.93323616
7577429;254.61493483
7577430;191.01906878
7577431;65.644160034
7577432;52.330429057
7577433;81.838765612
7577434;77.773666778
7577435;136.44964507
7577436;92.590841838
7577437;71.035202208
7577438;76.207233401
7577439;75.04958631
7577440;45.684672995
7577441;95.093869677
7577442;129.18625096
7577443;168.42433573
7577444;125.55204545
7577445;47.045435807
7577446;47.520642229
7577447;87.467246277
7577656;124.20005284
7577657;110.57337989
7577658;175.48247469
7577660;124.20005284
7577661;127.8701406
7577662;137.22308167
7577663;73.318525054
7577664;74.867358467
7577665;67.527182937
7577666;96.950923111
7577667;168.17533907
7577668;93.280835346
7577669;112.6234015
7577670;96.965729817
7577671;93.280835346
7577674;93.280835346
7577922;188.07169402
7577923;96.644958081
7577925;128.10699189
7577926;152.27626792
7577927;108.1535748
7577928;128.10699189
7577929;125.03947868
7577930;121.73932964
7577931;165.86376704
7577933;99.396266617
7577934;152.94444921
7577937;143.51179668
7577939;76.446251821
7577940;76.446251821
7577941;67.062422771
7577942;85.911058755
7577943;81.539739021
7577944;126.11302295
7577945;76.561766768
7577946;76.446251821
7577947;81.793757742
7577948;85.974384545
7577949;104.66240585
7577950;85.935353795
7577951;80.452210929
7577952;46.709575787
7577953;70.952866932
7577954;76.446251821
7577956;107.36167585
7577957;126.04969716
7577958;68.160192886
7578146;803.01413557
7578147;890.66200723
7578148;716.7595695
7578149;822.53286071
7578150;612.56403102
7578151;510.47271068
7578152;560.518768
7578153;761.5143
7578154;439.68193148
7578155;629.7852552
7578156;600.49648865
7578157;894.42135078
7578158;751.58377237
7578159;411.74306872
7578161;513.2813613
7578163;656.11893972
7578164;732.68742997
7578165;901.17920816
7578166;715.76611605
7578167;726.1475543
7578169;634.05986229
7578170;383.1322027
7578171;657.01156547
7578172;449.17425678
7578174;799.29537815
7578175;380.07052497
7578176;353.40418431
7578177;587.76620529
7578178;473.79817966
7578179;573.69218347
7578180;394.14454679
7578181;676.32685844
7578182;525.08905365
7578183;295.28500525
7578184;467.37220994
7578185;828.69102461
7578186;546.82548563
7578187;345.48345615
7578188;666.25161718
7578189;413.48289565
7578190;444.68251422
7578191;468.66750432
7578193;549.37563273
7578535;809.22051418
7578536;690.73133571
7578537;606.24823256
7578538;812.25451625
7578539;976.80790081
7578540;690.73133571
7578541;818.16540773
7578542;437.27602491
7578543;1063.2309671
7578545;762.94997542
7578546;794.07199435
7578547;749.38405345
7578548;542.14261679
7578549;975.94826781
7578550;845.60541713
7578551;365.36368001
7578552;858.81055938
7578553;708.97235063
7578554;882.74542866
7578555;479.65302884
7578556;595.02938744
7578557;580.78144922
7578558;319.37176888
7578560;502.35006234
7578561;384.76715678
7578562;593.47174908
7578563;493.90096706
7578564;471.59001335
7578751;14.027599549
7578752;12.161705642
7578753;21.837645358
7578754;14.027599549
7578755;14.027599549
7578756;14.027599549
7578757;12.161705642
7578758;14.558430238
7578759;12.71347945
7578760;11.17825422
7578761;12.097096481
7578763;10.520699662
7578764;10.520699662
7578765;10.520699662
7578767;10.520699662
7578768;10.848407615
7578769;10.520699662
7578770;17.012497729
7578843;28.381202046
7578844;26.210247119
7578845;22.839750652
7578847;21.612361942
7578848;21.512039506
7578849;16.897149701
7578850;13.591271717
7578851;20.096504447
7578852;31.706703417
7578853;14.994642033
7578854;21.313312581
7578855;14.994642033
7578856;17.567669155
7578857;22.122083624
7578858;23.233002666
7578859;23.894193684
7578861;23.128004242
7578864;13.942594567
7578866;31.686836279
7578869;16.309526061
7578873;13.942594567
7578874;18.893248961
7578875;28.518152651
7578876;14.994642033
7578877;14.994642033
7578879;18.692410048
7578880;28.518152651
7578882;31.686836279
7578884;29.299681221
7578887;72.849242936
7578888;67.521078273
7578891;45.211021089
7578893;60.394907353
7578894;56.901281361
7578895;49.113583681
7578896;49.113583681
7578898;87.988117234
7578899;73.585093875
7578901;77.480621654
7578905;45.338303118
7578910;85.838543221
7578913;30.284449396
7578914;60.404528768
7578915;21.625674649
7578916;46.909819499
7578917;60.404528768
7578920;54.118965075
7578921;73.725429568
7578922;23.195899358
7578924;32.559738667
7578925;51.16727326
7578926;50.809340682
7578927;42.015274354
7578928;36.341339275
7578929;25.882126669
7578930;25.882126669
7578931;39.564648696
7578933;35.944979258
7578934;57.675349027
7578936;47.638970092
7578937;40.71464182
7578938;59.513905831
7578940;50.249223224
7578941;25.882126669
7578942;31.976438687
7578943;36.65232808
7578944;58.483172094
7578946;40.676797729
7578947;65.148821451
7578948;43.742116564
7578949;47.245138368
7578951;47.245138368
7578952;40.676797729
7578953;48.78472785
7578954;39.130996884
7578958;40.676797729
7578959;35.62797508
7578960;29.867015745
7578961;48.881075158
7578962;51.480368349
7578963;39.130996884
7578964;66.664740397
7578966;48.59848289
