DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A3;P784S4A4
7615603;1;1;1;532.99722087;1;250000
7615609;1;1;1;557.65225189;1;456000
7615615;1;1;1;450.70772702;1;456000
7615634;1;1;1;485.33127813;1;456000
7615770;1;1;1;242.7854006;1;228000
7615819;1;1;1;98.155508535;1;456000
7615916;1;1;1;443.06080045;1;98
7615941;1;1;1;100.62991655;3;1340000
7616086;1;1;1;17.726894635;1;1060000
7616089;1;1;1;16.116859181;1;580000
7616379;1;1;1;106.59294889;1;390000
7616454;1;1;1;401.19688248;1;900000
7616462;1;1;1;314.28203029;1;900000
7616465;1;1;1;393.88062797;1;900000
7616504;1;1;1;20.634363661;1;900000
7616573;1;1;1;93.934346687;1;912000
7616593;1;1;1;95.057560326;1;450000
7616653;1;1;1;142.13040516;1;370000
7616655;1;1;1;99.921093153;1;360000
7616659;1;1;1;86.092096749;1;375000
7616660;1;1;1;63.122876131;1;360000
7616852;1;1;1;65.868830713;1;380000
7616867;1;1;1;102.35671739;1;160000
7616869;1;1;1;113.1299517;1;760000
7616895;1;1;1;43.792399929;1;228000
7616929;1;1;1;1598.6531057;1;1200000
7616959;1;1;1;1827.5668547;1;4500000
7616997;1;1;1;1112.3855467;1;2160000
7617004;1;1;1;22.007846537;2;2900000
7617044;1;1;1;22.007846537;1;2400000
7617277;1;1;1;20.263204834;1;80000
7617281;1;1;1;20.263204834;1;40000
7617328;1;1;1;54.805466794;1;412000
7617352;1;1;1;217.47513117;1;420000
7617380;1;1;1;165.81534475;1;50000
7617383;1;1;1;190.80904079;1;226000
7617389;1;1;1;219.38411265;1;304000
7617394;1;1;1;146.19556598;1;144000
7617531;1;1;1;121.46955186;1;1920000
7617532;1;1;1;112.59977601;1;228000
7617535;1;1;1;66.124959919;1;228000
7617581;1;1;1;115.07940357;1;150000
7617595;1;1;1;89.708613113;1;280000
7617638;1;1;1;85.256654926;1;140000
7617712;1;1;1;198.33725625;1;450000
7617748;1;1;1;58.28521131;1;60000
7617802;1;1;1;185.86946717;1;480000
7617859;1;1;1;499.87044421;1;456000
7617941;1;1;1;221.158518;1;420000
7617955;1;1;1;122.06116301;1;350000
7617965;1;1;1;142.80075627;1;420000
7617981;1;1;1;143.87620816;1;360000
7618035;1;1;1;141.44655315;1;160000
7618132;1;1;1;77.856112169;1;1920000
7618197;1;1;1;63.090424508;1;750000
7618199;1;1;1;83.621180404;1;860000
7618218;1;1;1;27.153766084;1;850000
7618283;1;1;1;82.177065829;1;920000
7618326;1;1;1;220.30275206;1;300000
7618343;1;1;1;197.59559243;1;350000
7618344;1;1;1;165.27769807;1;250000
7618346;1;1;1;257.79384826;1;276000
7618349;1;1;1;198.33421526;1;140000
7618386;1;1;1;55.268404195;1;300000
7618395;1;1;1;39.182219052;1;195000
7618398;1;1;1;68.598605796;1;70000
7618599;1;1;1;316.28206887;1;900000
7618605;1;1;1;280.92554687;1;450000
7618612;1;1;1;350.74967815;1;900000
7618687;1;1;1;165.63493672;1;456000
7618691;1;1;1;147.47411433;1;1600000
7618695;1;1;1;149.99120432;1;456000
7618722;1;1;1;170.83211392;1;250000
7618828;1;1;1;1156.944937;1;400000
7618871;1;1;1;880.07298165;1;532000
