DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P10000;P400;P401;P402;P403;P407S2;P5971;P5971S2;P5971S2A1
7568393;4;1;4;165.27376863;4;3;2;2;2;;;2;
7568393;5;1;5;165.27376863;5;3;2;2;2;;;2;
7568393;6;1;6;165.27376863;6;3;2;2;2;;;2;
7568395;3;1;3;200.94217763;3;3;2;2;2;;;2;
7568399;4;1;4;227.38389205;2;3;2;2;2;;;2;
7568399;5;1;5;227.38389205;2;3;2;2;2;;;2;
7568400;5;1;5;165.45085283;5;3;2;2;2;;;2;
7568400;8;1;8;165.45085283;8;3;2;2;2;;;2;
7568419;3;1;3;428.36557508;2;6;2;2;2;;;2;
7568421;3;1;3;388.14336658;4;3;2;2;2;;;1;2
7568423;3;1;3;388.14336658;3;3;2;2;2;;;2;
7568423;4;1;4;388.14336658;4;3;2;2;2;;;2;
7568425;5;1;5;44.451674765;5;3;2;2;2;;;2;
7568432;3;1;3;55.379281241;3;3;2;2;2;;;2;
7568432;4;1;4;55.379281241;4;3;2;2;2;;;2;
7568432;5;1;5;55.379281241;5;3;2;2;2;;;2;
7568434;3;1;3;47.21209693;3;3;2;2;2;;;2;
7568451;2;1;2;27.271711106;2;3;2;2;2;;;2;
7568451;3;1;3;27.271711106;1;3;2;2;2;;;2;
7568451;4;1;4;27.271711106;1;3;2;2;2;;;2;
7568452;7;1;7;109.08684442;5;3;2;2;2;;;2;
7568455;3;1;3;74.280899829;1;3;2;2;2;;;1;5
7568455;4;1;4;74.280899829;1;3;2;2;2;;;1;3
7568455;5;1;5;74.280899829;1;3;2;2;2;;;2;
7568457;3;1;3;46.964807704;1;3;2;2;2;;;2;
7568464;3;1;3;56.252421691;2;3;2;2;2;;;1;2
7568464;4;1;4;56.252421691;2;3;2;2;2;;;2;
7568465;4;1;4;89.720398276;4;3;2;2;2;;;2;
7568465;5;1;5;89.720398276;2;3;2;2;2;;;2;
7568468;3;1;3;34.294211985;1;3;2;2;2;;;1;4
7568469;3;1;3;59.740017886;2;3;2;2;2;;;1;4
7568469;4;1;4;59.740017886;2;3;2;2;2;;;1;3
7568480;4;1;4;62.030603274;2;3;2;2;2;;;1;3
7568482;4;1;4;109.08684442;1;3;2;2;2;;;2;
7568482;5;1;5;109.08684442;1;3;2;2;2;;;2;
7568482;6;1;6;109.08684442;1;3;2;2;2;;;2;
7568483;3;1;3;27.271711106;1;3;2;2;2;;;2;
7568484;2;1;2;27.271711106;1;3;2;2;2;;;2;
7568484;3;1;3;27.271711106;1;3;2;2;2;;;2;
7568487;3;1;3;5.2246691737;1;3;2;2;2;;;2;
7568488;3;1;3;3.4302306553;3;3;2;2;2;;;1;3
7568488;4;1;4;3.4302306553;4;3;2;2;2;;;2;
7568488;5;1;5;3.4302306553;2;3;2;2;2;;;2;
