DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P51;P772;P773;P6169;P6169S1;P8564;P8564S1;P8566;P8566S1;P8568;P8568S1;P6191;P6191S1;P8572;P8572S1;P8574;P8574S1;P8576;P8576S1;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S14;P779S9A2
7567515;5;1;5;45.724277129;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;;;;;;;1;3;1;1;;;;;;;
7567520;3;1;3;15.709435003;1;;3;2;;1;120000;2;;1;20000;2;;2;;2;;2;;1;3;;;3000;1;3;;;2000;1;1;;;;;1;2;1;2;1;2;1;2;1;2;;;;;1;2;;;;;;;
7567525;4;1;4;20.253438587;3;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;2;;;1;2;;;;;;;1;1;;;;;;;
7567526;4;1;4;32.931174298;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;3;;;1;3;;;;;;;1;1;;;;;;;
7567542;4;1;4;101.90674739;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;20000;1;3;;;8000;1;2;;;;;1;2;1;2;;;;;;;1;2;1;2;1;1;;;;;;;
7567542;5;1;5;101.90674739;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;10000;1;3;;;8000;1;2;;;;;;;1;2;;;;;;;1;2;1;2;1;1;;;;;;;
7567543;4;1;4;21.638635023;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;1;2;;;;;;;;;
7567547;6;1;6;40.002553001;1;;1;2;;2;;2;;2;;1;3000;2;;2;;2;;1;3;;;5000;1;3;;;2000;1;2;;;;;;;;;;;;;;;;;;;1;2;;;;;;;
7567548;3;1;3;19.597451421;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;3000;1;3;;;1000;1;1;;;;;1;2;1;2;;;;;;;;;1;2;1;1;;;;;;;
7567554;3;1;3;25.266076007;2;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;2;;;;;;;1;2;;;;;;;;;1;2;1;2;;;;;;;
7567554;4;1;4;25.266076007;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;1;2;1;2;;;;;;;
7567557;3;1;3;61.33524215;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;;;;;1;1;;;;;;;
7567557;4;1;4;61.33524215;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;;;;;1;1;;;;;;;
7567558;4;1;4;55.109622053;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;1;1;;;;;;;1;1;;;;;;;
7567570;2;1;2;21.99825509;2;3;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;3;1;1;;;1;1;;;;;1;1;;;1;1;;;;;
7567573;3;1;3;13.577896296;2;7;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;2;;;;;1;2;;;;;;;1;1;;;;;;;
7567578;3;1;3;33.255461907;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;2;;;1;2;;;;;;;;;1;2;;;;;
7567580;4;1;4;30.150240808;1;;4;2;;1;65000;2;;2;;2;;2;;2;;2;;1;3;;;10000;1;3;;;6000;1;2;;;;;;;;;;;1;2;;;;;1;2;;;;;;;;;
7567582;5;1;5;32.417048602;3;2;;;;;;;;;;;;;;;;;;1;3;;;10000;2;;;;;1;1;;;;;;;;;;;1;1;;;;;1;2;;;;;;;;;
7567584;3;1;3;27.009606383;2;6;;;;;;;;;;;;;;;;;;1;3;;;10000;2;;;;;1;1;;;;;1;1;1;1;;;1;1;;;;;1;2;;;;;;;;;
7567584;4;1;4;27.009606383;2;6;;;;;;;;;;;;;;;;;;1;3;;;10000;2;;;;;1;1;;;;;1;1;1;1;;;1;1;;;;;1;2;;;;;;;;;
7567587;4;1;4;36.01280851;1;;3;2;;2;;1;200000;2;;2;;2;;2;;2;;1;3;;;15000;1;3;;;3000;1;2;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;
7567588;3;1;3;51.201465635;2;4;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;2;;;;;1;1;;;;;1;1;;;;;;;;;;;;;;;
7567589;4;1;4;60.787121919;2;6;;;;;;;;;;;;;;;;;;1;3;;;20000;1;3;;;1000;1;3;;;;;1;1;;;;;1;1;;;1;1;1;3;;;;;;;;;
